code,date,open,high,low,close,volume,value,return
906,2017-12-25,4426.941,4451.265,4388.433,4403.173,1531916.74,20554318.37,-0.4776
300,2017-12-25,4057.417,4086.934,4026.45,4041.54,919269.62,12993883.92,-0.3221
905,2017-12-25,6244.864,6257.021,6170.682,6185.591,612647.12,7560434.46,-0.9177
852,2017-12-25,7031.033,7034.197,6927.319,6940.511,702010.01,8211247.77,-1.3767
905,2017-12-26,6179.56,6220.499,6148.104,6220.147,576716.56,6911751.45,0.5587
300,2017-12-26,4040.617,4056.855,4015.3,4053.622,911187.9,11972510.06,0.2989
906,2017-12-26,4401.313,4421.489,4375.187,4419.308,1487904.45,18884261.51,0.3664
852,2017-12-26,6935.04,6970.984,6893.616,6970.746,633575.53,7295506.75,0.4356
906,2017-12-27,4411.303,4413.515,4356.053,4360.287,1693511.06,21852656.37,-1.3355
300,2017-12-27,4045.279,4047.737,3986.739,3991.208,1051535.77,14051690.71,-1.5397
905,2017-12-27,6213.243,6228.883,6168.131,6173.153,641975.29,7800965.66,-0.7555
852,2017-12-27,6963.064,6985.489,6935.877,6942.539,722638.85,8103346.72,-0.4046
300,2017-12-28,3992.997,4036.698,3980.236,4018.897,1185428.86,15363669.58,0.6937
906,2017-12-28,4360.03,4405.311,4348.598,4388.371,1844204.29,23164692.42,0.6441
905,2017-12-28,6163.964,6219.539,6157.105,6204.27,658775.42,7801022.85,0.5041
852,2017-12-28,6929.544,6979.075,6925.067,6956.483,752748.63,8285406.84,0.2008
300,2017-12-29,4022.883,4043.14,4012.875,4030.855,904866.83,12125703.85,0.2975
852,2017-12-29,6957.015,7018.065,6956.588,7017.351,666900.97,7424342.37,0.875
905,2017-12-29,6201.455,6250.821,6201.455,6250.821,571656.31,7184180.45,0.7503
906,2017-12-29,4391.065,4411.277,4384.773,4406.623,1476523.13,19309884.3,0.4159
905,2018-01-02,6263.151,6332.609,6258.156,6332.227,730322.35,8815398.53,1.3023
906,2018-01-02,4420.479,4467.638,4420.479,4467.279,2199676.7,26655601.82,1.3765
852,2018-01-02,7027.635,7092.221,7022.232,7092.095,771910.27,8370713.31,1.0651
300,2018-01-02,4045.209,4087.779,4045.209,4087.401,1469354.35,17840203.29,1.4028
300,2018-01-03,4091.461,4140.054,4088.73,4111.393,1518522.18,20572688.96,0.587
906,2018-01-03,4470.459,4520.089,4467.07,4496.988,2357889.63,30918157.59,0.665
852,2018-01-03,7090.866,7163.857,7083.107,7159.876,914100.1,10253697.42,0.9557
905,2018-01-03,6331.72,6391.98,6324.26,6388.253,839367.45,10345468.64,0.8848
905,2018-01-04,6380.267,6418.256,6375.513,6417.535,805436.9,10292965.94,0.4584
852,2018-01-04,7149.679,7175.348,7141.696,7174.865,888221.18,10078481.29,0.2093
906,2018-01-04,4497.711,4522.583,4490.897,4516.451,2150874.83,27745321.55,0.4328
300,2018-01-04,4114.121,4137.642,4105.886,4128.812,1345437.94,17452355.61,0.4237
905,2018-01-05,6414.766,6435.854,6397.293,6417.254,815810.18,9764229.74,-0.0044
300,2018-01-05,4133.344,4151.282,4123.282,4138.751,1490098.72,18520629.32,0.2407
852,2018-01-05,7172.001,7194.979,7163.042,7176.868,924014.33,10306315.99,0.0279
906,2018-01-05,4519.593,4536.553,4509.841,4524.414,2305908.9,28284859.07,0.1763
905,2018-01-08,6413.873,6446.788,6393.882,6446.182,894769.29,10638959.04,0.4508
300,2018-01-08,4140.855,4166.318,4127.308,4160.16,1738776.66,22640387.29,0.5173
852,2018-01-08,7172.044,7188.545,7132.94,7188.291,975960.14,10892748.25,0.1592
906,2018-01-08,4525.485,4551.096,4511.005,4547.028,2633545.95,33279346.33,0.4998
300,2018-01-09,4157.539,4191.284,4153.502,4189.298,1390342.94,18197507.98,0.7004
905,2018-01-09,6441.684,6449.035,6425.027,6445.746,755732.17,9283778.32,-0.0068
906,2018-01-09,4544.084,4571.4,4539.752,4570.445,2146075.12,27481286.3,0.515
852,2018-01-09,7179.927,7183.284,7156.197,7176.742,847620.73,9440658.33,-0.1607
906,2018-01-10,4568.334,4581.844,4543.66,4578.028,2320886.4,29378855.83,0.1659
852,2018-01-10,7172.725,7175.078,7089.656,7138.781,920833.97,10313272.99,-0.5289
